Date,Bonds US: Treasury Yield 20 Years,Bonds US - High Yield Corporate,Bonds Emerging Markets,Bonds Inflation-Linked: iShares TIPS ETF,Equity - US: SP500,Equity - US: Technology Sector,Equity - World: Emerging Markets,Equity - World: Developed Markets,Real Estate - Global REIT,Real Estate - US REIT ETF,Real Estate - High Dividend REIT,Commodities - Gold,Commodities - Oil,Commodities - Natural Gas,Cryptocurrency - Bitcoin,Cryptocurrency - Ethereum,ESG - iShares ESG Aware MSCI USA ETF,ESG - Vanguard ESG International Stock ETF,Clean Energy - iShares Global Clean Energy ETF,Green Bonds - VanEck Green Bond ETF
2019-01-03,-0.02749832799183527,0.0004940676278555323,0.0042346650344338155,0.005834778083843251,-0.023862858909176943,-0.05046754570192247,-0.017985640740688424,-0.008097258706389554,0.0060502979264049905,0.006991032757558857,0.013148031034177166,0.009066170423806419,0.010152225778948587,-0.011433266200995273,-0.02704974336321264,-0.0381345519552061,-0.02320498109631175,-0.008763982060916664,-0.008413438428978792,0.0035360828228261365
2019-01-04,0.025517199762370657,0.0167839407206003,0.007571272203583002,-0.002084906033092193,0.03349596362471541,0.04431998922792868,0.030812365492412397,0.030748347277989696,0.015463699371993211,0.011706887758263118,0.03136308251935449,-0.00808623590052937,0.0231156281728242,0.036348661767592993,0.005467222626216461,0.03652348258266658,0.036475998302522905,0.030605414076500637,0.030303098759263847,-0.0021532706921371103
2019-01-07,0.001344972606715178,0.009710591120632328,0.004279518371780977,-0.0006355735947395358,0.007884635051303768,0.008943133689723215,0.0022993707955922815,0.0031680696861502433,0.004230453071205842,0.009822626320897365,0.02516598377418533,0.003458482876331992,0.010805466933170749,-0.028298166102165512,0.04342743097348678,-0.01864849770232646,0.006497157879580273,0.0028592716718272015,0.008235088040710492,0.002746708162235434
2019-01-08,0.0050369728941765946,0.006491046718114291,-0.0007574394239386883,0.0008180386989726784,0.009394959065460728,0.00838035338253329,0.0025025199681014687,0.007105294832522313,0.0185341693590777,0.020652745795356475,0.026593543956297427,-0.00270804061547536,0.020408167048151737,0.01476622734798494,0.0013911214837352137,-0.0088305290009012,0.011296293426645398,0.008335382533211089,0.011668856875368672,-0.0021525408659375245
2019-01-09,0.010357466954372674,0.0011939509546377014,0.001800674177428796,0.001180513223612234,0.004673632186493748,0.012945551374122344,0.01809857363301548,0.012280967752858585,0.00041330078882206855,-0.00143614067061415,0.008966977121005248,0.006418158373500793,0.05238097054617752,0.006063040417057186,0.0011036105648376537,0.0029494714261837363,0.0026593214862442593,0.013922365662852876,0.008073495994302071,0.007490505960692451
2019-01-10,0.008928634079902631,0.003936231395111456,-0.0017974375779966634,-0.002358072461541405,0.0035276158573274152,0.0044175882941401845,0.0067429740680138295,0.004130101642544126,0.01116162894832562,0.013596902638535635,0.003950242188028863,-0.005886691481276518,0.004524904060796864,-0.005624724511108736,-0.08831366819666353,-0.1470654808093831,0.004067401943594007,-0.00021465889722871445,0.011441889139617523,-0.0019853586446179072
2019-01-11,-0.004588717417496335,-0.003207896978758118,9.484968187134513e-05,0.0026365384030277994,0.00038630031043473956,-0.0018849981557998996,-0.004871042411427218,-0.006169760486000486,0.004497102371405548,0.0028371360000782886,-0.00229500628639423,0.001727170986037363,-0.018018086132081,0.054141420306581534,0.0022943982214995717,-0.008372065986680277,-8.786698159568562e-05,-0.0030042226928636007,0.005656050961382331,-0.001365274142093087
2019-01-14,0.007573263864056434,-0.0032184753304652647,-0.0011376963314877475,-0.0018138462797790966,-0.006100771116728465,-0.009285485093100787,-0.007750414263320904,-0.005173265694052187,-0.005697872043052388,-0.0033439824312110344,-0.008544634934453899,0.002380897199235621,-0.01926605921985236,0.14028362690711105,0.005067782862046899,0.011920195784020704,-0.0032585704675699434,-0.005165725765228224,-0.0044995084467838176,-0.000976186091886655
2019-01-15,0.0035948224210082813,0.0033480363806541735,0.0034154070759151445,-0.0009086988821751518,0.011460595420873965,0.015091418219667974,0.0073996320012328365,0.006240164885448651,0.0061399868047793404,0.009549885429516403,0.005635050282945198,-0.0017200351443329431,0.02899910493781177,-0.03462187182001708,-0.020338880328643172,-0.054513676417318746,0.009188839651793401,0.005841080412809507,-0.005649426680531255,-3.907135836245246e-05
2019-01-16,0.00195369695516745,0.0015493107727986288,0.0008514342120928831,-9.068831321701332e-05,0.0024199249516125843,0.0009388955783504738,0.011018385866824465,0.003100763306284504,0.008950488614877017,0.007030401107252837,0.01582053769090086,0.003199863787636481,0.00545458360151807,-0.01740947116831948,0.006701657682214313,0.01240938459045382,0.0026265528564428653,0.00645318809168427,0.003408937952222857,-0.0011333806776839817
